epoch,loss,ac_score,val_loss,val_ac_score,val_aa_score
0,0.41507851612946345,0.8973412698412698,0.3358651009249309,0.912063492063492,"{0: 5724.0, 1: 4962.0952380952385, 2: 5348.533333333333, 3: 5900.761904761905, 4: 5781.333333333333, 5: 5755.733333333333, 6: 4883.2, 7: 5517.066666666667, 8: 5360.622222222222, 9: 5636.533333333333, 10: 4922.5142857142855, 11: 5570.133333333333, 12: 5489.333333333333, 13: 5139.2, 14: 5766.666666666667, 15: 5565.714285714285, 16: 4406.857142857142, 17: 5666.4, 18: 5757.333333333333, 19: 5727.066666666667, 20: 5297.066666666667, 21: 4714.9333333333325, 22: 5894.399999999999, 23: 5113.866666666668, 24: 5324.799999999999, 25: 4911.2, 26: 4900.266666666666, 27: 5973.333333333333, 28: 5858.4, 29: 5837.0666666666675, 30: 4217.142857142858, 31: 5239.733333333333, 32: 5563.733333333333, 33: 4501.333333333334, 34: 5866.666666666667, 35: 5606.4, 36: 5695.999999999999, 37: 5591.161904761905, 38: 5824.0, 39: 5824.0, 40: 5384.799999999999, 41: 5512.228571428572, 42: 5446.400000000001, 43: 5873.333333333334, 44: 4329.2444444444445}"
1,0.21948828422834002,0.9348015873015874,0.32747784504814753,0.9106349206349207,"{0: 5649.333333333333, 1: 5553.333333333333, 2: 5145.866666666667, 3: 5359.283116883116, 4: 5888.0, 5: 5984.0, 6: 4032.0000000000014, 7: 5209.866666666667, 8: 5392.622222222222, 9: 5694.133333333332, 10: 5502.780952380952, 11: 5638.4, 12: 5553.333333333333, 13: 5286.400000000001, 14: 3441.066666666666, 15: 5617.0666666666675, 16: 4716.495238095238, 17: 5852.0, 18: 5650.666666666668, 19: 5608.800000000001, 20: 5540.2666666666655, 21: 5258.933333333333, 22: 5478.399999999999, 23: 5491.466666666666, 24: 5658.514285714285, 25: 5595.999999999999, 26: 5663.066666666667, 27: 5685.333333333333, 28: 5619.466666666667, 29: 5632.266666666666, 30: 5379.809523809523, 31: 5691.999999999999, 32: 5570.133333333332, 33: 4992.000000000001, 34: 5595.733333333333, 35: 5664.0, 36: 5525.333333333333, 37: 5366.857142857143, 38: 5824.0, 39: 5060.266666666666, 40: 5457.333333333333, 41: 4219.4285714285725, 42: 5663.999999999999, 43: 6097.333333333334, 44: 4893.866666666667}"
2,0.1981416642145505,0.9403968253968253,0.3061292769984593,0.92,"{0: 5649.333333333333, 1: 5500.0, 2: 5256.8, 3: 5410.483116883117, 4: 5845.333333333333, 5: 5719.466666666666, 6: 5075.200000000001, 7: 5229.066666666667, 8: 5349.244444444444, 9: 5736.799999999999, 10: 5461.1809523809525, 11: 5760.0, 12: 5184.8761904761905, 13: 5670.4, 14: 5922.400000000001, 15: 5274.5142857142855, 16: 4467.809523809525, 17: 5820.0, 18: 5810.666666666667, 19: 5614.0, 20: 5518.9333333333325, 21: 5476.533333333334, 22: 5410.133333333331, 23: 5427.466666666667, 24: 5465.5999999999985, 25: 5410.400000000001, 26: 5509.466666666667, 27: 5845.333333333333, 28: 5517.066666666667, 29: 5180.0, 30: 5233.828571428571, 31: 5873.333333333333, 32: 5463.466666666666, 33: 4354.133333333334, 34: 5478.4, 35: 5845.333333333333, 36: 5198.933333333333, 37: 5505.828571428571, 38: 5805.714285714285, 39: 5952.0, 40: 4807.733333333334, 41: 4280.380952380952, 42: 5856.0, 43: 5879.733333333334, 44: 5388.799999999999}"
3,0.1663965689473682,0.9504761904761905,0.24619137424325185,0.9331746031746032,"{0: 5492.380952380952, 1: 5425.333333333333, 2: 5188.533333333333, 3: 5887.2415584415585, 4: 5781.333333333333, 5: 5851.733333333333, 6: 5318.4, 7: 5139.466666666667, 8: 5312.977777777777, 9: 5736.799999999999, 10: 5471.847619047619, 11: 5685.333333333334, 12: 5489.333333333333, 13: 5275.733333333334, 14: 6054.666666666666, 15: 5627.733333333334, 16: 5120.914285714285, 17: 5980.0, 18: 5777.333333333334, 19: 5688.666666666667, 20: 5512.533333333333, 21: 5638.666666666666, 22: 5841.066666666667, 23: 5559.733333333334, 24: 5570.133333333331, 25: 4807.733333333334, 26: 5289.733333333334, 27: 5706.666666666667, 28: 5783.733333333334, 29: 5636.533333333334, 30: 5123.809523809523, 31: 5916.0, 32: 5661.866666666667, 33: 4375.466666666668, 34: 5787.733333333334, 35: 5763.047619047619, 36: 5416.533333333333, 37: 5627.428571428572, 38: 5824.0, 39: 5845.333333333334, 40: 5118.133333333333, 41: 5121.82857142857, 42: 5866.666666666666, 43: 5943.733333333334, 44: 5049.599999999999}"
4,0.14414740562438966,0.9561507936507937,0.24035548991627165,0.9344444444444444,"{0: 5617.333333333333, 1: 5713.333333333334, 2: 5613.066666666667, 3: 5497.811255411256, 4: 5888.0, 5: 5990.4, 6: 5143.466666666665, 7: 5570.400000000001, 8: 5342.844444444444, 9: 5736.799999999999, 10: 5371.580952380953, 11: 5728.0, 12: 5617.333333333333, 13: 5525.333333333333, 14: 5911.733333333334, 15: 5607.466666666666, 16: 4803.961904761904, 17: 5852.0, 18: 5672.000000000001, 19: 5660.0, 20: 5494.247619047619, 21: 5681.333333333334, 22: 5448.533333333333, 23: 5570.400000000001, 24: 5381.180952380952, 25: 5277.066666666667, 26: 5520.133333333334, 27: 5888.0, 28: 5922.4, 29: 5504.2666666666655, 30: 5375.5428571428565, 31: 5553.333333333333, 32: 5655.466666666666, 33: 4785.066666666667, 34: 5723.733333333333, 35: 5435.733333333334, 36: 5539.047619047618, 37: 5670.0952380952385, 38: 5749.333333333334, 39: 5548.8, 40: 4687.2, 41: 5188.8761904761905, 42: 5630.780952380952, 43: 6065.333333333334, 44: 5032.533333333333}"
5,0.12538998545635313,0.9626984126984127,0.22103008253233775,0.940952380952381,"{0: 5660.0, 1: 5681.333333333334, 2: 5231.200000000001, 3: 5809.222510822511, 4: 5845.333333333333, 5: 6075.733333333334, 6: 5175.466666666666, 7: 5474.400000000001, 8: 5050.5777777777785, 9: 5730.4, 10: 5471.847619047619, 11: 5824.0, 12: 5468.0, 13: 5420.799999999999, 14: 5773.0666666666675, 15: 5499.733333333334, 16: 5023.695238095238, 17: 5852.0, 18: 5768.000000000001, 19: 5660.0, 20: 5461.333333333332, 21: 5681.333333333334, 22: 5619.2, 23: 5495.733333333334, 24: 5591.466666666665, 25: 5399.733333333334, 26: 5146.799999999999, 27: 5845.333333333333, 28: 5937.333333333333, 29: 5764.533333333334, 30: 5307.27619047619, 31: 5873.333333333334, 32: 5666.133333333333, 33: 4795.733333333334, 34: 5653.333333333333, 35: 5589.333333333333, 36: 5845.333333333334, 37: 5534.476190476191, 38: 5824.0, 39: 5824.0, 40: 5195.8476190476185, 41: 5396.114285714285, 42: 5888.0, 43: 5943.733333333334, 44: 5260.799999999999}"
6,0.1087754468643476,0.9676587301587302,0.22272327372952114,0.940952380952381,"{0: 5660.0, 1: 5617.333333333334, 2: 5581.066666666667, 3: 5870.174891774892, 4: 5888.0, 5: 6171.733333333333, 6: 5478.4, 7: 5410.4, 8: 5364.177777777778, 9: 5736.799999999999, 10: 5519.8476190476185, 11: 5792.0, 12: 5596.0, 13: 5339.733333333333, 14: 5922.4, 15: 5543.466666666667, 16: 5294.628571428571, 17: 5916.0, 18: 5874.666666666667, 19: 5561.733333333333, 20: 5570.133333333333, 21: 5630.133333333333, 22: 5819.733333333333, 23: 5288.8, 24: 5602.133333333332, 25: 5549.066666666667, 26: 5477.466666666667, 27: 5728.0, 28: 5815.733333333334, 29: 5657.866666666667, 30: 5354.2095238095235, 31: 5916.0, 32: 5687.466666666665, 33: 4806.400000000001, 34: 5341.866666666667, 35: 5653.333333333334, 36: 5592.380952380951, 37: 5523.809523809525, 38: 5824.0, 39: 5866.666666666667, 40: 5186.400000000001, 41: 4598.857142857143, 42: 5802.666666666666, 43: 6065.333333333334, 44: 5196.799999999999}"
7,0.09603950937115957,0.9687698412698412,0.21385514265015013,0.9411111111111111,"{0: 5596.0, 1: 5628.0, 2: 5517.066666666667, 3: 5938.441558441559, 4: 5888.0, 5: 6139.733333333334, 6: 5158.399999999999, 7: 5188.533333333334, 8: 5028.533333333333, 9: 5730.4, 10: 5439.847619047619, 11: 5824.0, 12: 5638.666666666667, 13: 5343.999999999999, 14: 5986.4, 15: 5602.133333333333, 16: 5192.228571428572, 17: 5852.0, 18: 5810.666666666667, 19: 5688.666666666667, 20: 5640.533333333333, 21: 5630.133333333333, 22: 5755.733333333333, 23: 5485.066666666667, 24: 5580.799999999999, 25: 5378.400000000001, 26: 5402.800000000001, 27: 5941.333333333333, 28: 5681.333333333333, 29: 5726.133333333333, 30: 5422.47619047619, 31: 5873.333333333334, 32: 5555.2, 33: 4923.7333333333345, 34: 5632.0, 35: 5589.333333333334, 36: 5770.666666666667, 37: 5569.828571428571, 38: 5824.0, 39: 5802.666666666667, 40: 5144.8, 41: 5119.390476190476, 42: 5952.0, 43: 5841.333333333334, 44: 5085.866666666667}"
8,0.08847142754566102,0.9719444444444445,0.2080838269657559,0.946031746031746,"{0: 5596.0, 1: 5617.333333333334, 2: 5549.066666666667, 3: 5870.174891774892, 4: 5888.0, 5: 6139.733333333334, 6: 5058.133333333332, 7: 5342.133333333334, 8: 5182.133333333333, 9: 5698.4, 10: 5471.847619047619, 11: 5824.0, 12: 5510.666666666667, 13: 5538.133333333333, 14: 5986.4, 15: 5755.733333333334, 16: 4825.295238095238, 17: 5852.0, 18: 5874.666666666667, 19: 5688.666666666667, 20: 5634.133333333333, 21: 5630.133333333333, 22: 5862.4, 23: 5549.066666666667, 24: 5555.2, 25: 5570.400000000001, 26: 5456.133333333333, 27: 5845.333333333333, 28: 5815.733333333334, 29: 5683.466666666666, 30: 5486.476190476191, 31: 5873.333333333334, 32: 5708.8, 33: 5105.0666666666675, 34: 5653.333333333333, 35: 5664.0, 36: 5603.047619047618, 37: 5604.8761904761905, 38: 5824.0, 39: 5866.666666666667, 40: 5517.066666666667, 41: 5169.67619047619, 42: 5909.333333333333, 43: 6033.333333333334, 44: 5171.2}"
9,0.08218842874916774,0.9755952380952381,0.20733559759836348,0.9465079365079365,"{0: 5577.714285714286, 1: 5617.333333333334, 2: 5506.4, 3: 5858.538528138528, 4: 5888.0, 5: 6214.4, 6: 5314.133333333333, 7: 5367.733333333334, 8: 5135.911111111111, 9: 5698.4, 10: 5471.847619047619, 11: 5824.0, 12: 5702.666666666667, 13: 5431.466666666666, 14: 5922.4, 15: 5730.133333333333, 16: 5196.495238095238, 17: 5852.0, 18: 5746.666666666667, 19: 5688.666666666667, 20: 5634.133333333333, 21: 5561.866666666667, 22: 5845.333333333333, 23: 5527.733333333333, 24: 5506.133333333332, 25: 5506.400000000001, 26: 5353.733333333334, 27: 5920.0, 28: 5841.333333333333, 29: 5709.066666666667, 30: 5396.8761904761905, 31: 5873.333333333334, 32: 5629.866666666666, 33: 4945.0666666666675, 34: 5653.333333333333, 35: 5696.0, 36: 5709.714285714284, 37: 5530.209523809524, 38: 5824.0, 39: 5824.0, 40: 5325.066666666667, 41: 5329.676190476191, 42: 5909.333333333333, 43: 6161.333333333334, 44: 5171.2}"
